src,dst
3588,4499
2291,3689
5676,1066
943,1353
5747,2490
2521,140
148,5956
5624,5775
4503,1154
398,3997
4327,3286
3702,4126
5537,1889
94,4558
2813,4407
3554,1545
3169,4534
5636,1857
2173,485
1671,150
634,4848
1759,5602
5808,659
2780,1835
5640,1324
2535,469
435,51
3373,5206
5608,5224
296,124
5165,2616
117,2203
1446,2094
5563,2017
4071,2905
5388,5157
1852,2588
4740,98
1583,5312
731,4295
1800,288
996,3520
3212,4039
407,3053
1086,5828
4735,1632
1253,5876
3962,944
1445,814
3656,2881
2586,5533
798,2848
4986,532
5076,4817
5494,5327
4132,5376
807,1644
1476,5956
5324,3976
163,2284
1366,450
4500,5391
4992,5892
2375,308
2936,5314
2621,5910
811,5378
2076,3302
797,5338
80,4674
1436,1109
2662,3665
3525,5590
2208,3649
3832,5093
3479,3328
731,3595
2530,5293
1279,1268
4896,762
3146,1849
5293,5584
1940,2127
4031,2967
141,2615
837,679
1547,5008
609,5126
5685,409
906,2763
2654,4077
2399,2368
956,4328
2119,3189
1253,3466
3015,163
3351,472
4784,4990
2512,2549
4740,5799
4643,931
1495,269
3672,2011
5848,2204
3370,1851
3569,5480
4212,5841
1519,538
1602,1682
3511,2641
5466,748
5640,4731
3790,770
4804,1536
2289,589
2903,3142
2514,3438
2377,399
4212,310
4464,1484
5960,2500
3886,5094
3075,1600
618,3262
5664,3298
5109,2960
3499,2703
3279,4607
561,4098
5452,1803
654,1980
2176,3575
3226,149
2290,5974
2088,5547
1353,1123
4813,201
3103,4947
5736,2251
2950,5254
1211,4650
859,4239
3154,4407
4828,1555
4319,868
3950,2560
3026,5942
5037,2862
3828,5426
3386,4383
3197,910
4466,1329
1334,2201
1367,1049
4069,655
1249,109
1454,1590
1332,3123
694,3370
5883,22
4364,491
308,2936
1856,412
2129,4021
1752,2151
3192,5604
3330,904
5818,5841
4139,5411
3999,4469
1438,2621
3711,887
488,1587
589,2781
4279,1437
211,5882
1819,5532
3841,5554
1608,3088
3841,4612
3113,1680
974,189
5876,2052
5272,3092
5312,4826
2273,55
3026,2156
1444,381
390,368
4334,3084
4136,1431
1335,3482
110,4160
5989,5238
5661,5372
5128,3090
3094,1914
1605,5101
2649,3797
3887,1373
5566,4860
878,4642
5915,2357
1517,3631
512,4047
2344,1199
3968,1445
3413,1733
3247,3638
5927,2287
1066,4768
2084,3703
4261,4273
4896,4636
5215,3328
4899,4185
3689,168
792,4461
4906,2228
1456,5861
918,3861
1643,849
1619,2268
1332,5810
181,3758
3568,2794
3394,1793
1036,633
5147,1584
2754,713
4567,3184
5355,4156
4979,1091
4846,2537
2609,4628
1781,992
2143,5946
193,4039
3627,1882
4988,5485
3633,2383
2080,4802
852,4065
4334,2485
5272,4932
441,4495
4418,2162
5187,4714
5137,1653
4399,2401
4711,26
512,2600
2390,5394
3633,886
3835,1148
5125,2048
4891,587
63,3706
887,5559
2325,1282
5072,1171
2070,4114
4721,4714
3811,1541
2770,0
91,4934
2309,3562
1913,961
5359,3138
612,1585
5611,3824
848,1401
3830,1398
5268,1240
4981,1242
1436,1989
1245,5865
1454,421
1213,785
5997,5228
2061,4824
501,5207
2806,4103
1943,1566
2648,2270
943,791
4273,4442
2252,949
3661,1784
2320,5281
3146,3778
4474,782
5698,2053
4868,747
5693,5341
1860,4968
1962,2003
493,3714
4888,4742
364,4557
104,1166
3959,4337
2696,4139
1962,3297
4385,5067
1888,3103
2288,747
148,1786
1522,2403
3895,1497
5108,134
4309,1132
4319,3008
1419,5365
1993,307
5924,3754
1327,4331
2432,5492
4018,3278
4351,3233
5430,3704
3624,2825
3709,721
4746,4144
183,2441
1602,307
2685,1495
4520,4916
4724,2522
15,746
3341,2053
3412,5617
5182,3579
1069,5340
4752,560
4031,3197
3844,3952
165,1424
1727,3700
116,1784
2897,5320
5289,1535
1824,5833
3998,2519
3040,2005
3882,4588
410,4640
109,4350
3079,3574
1719,2204
3977,3101
2878,3683
4102,1009
4311,4699
4740,444
2685,5812
113,3293
4517,1277
22,1843
4279,5760
1367,2563
5054,2665
2035,1788
4347,100
3022,544
3811,58
4127,5690
2312,1583
3436,3792
5505,1046
138,241
1536,5700
1757,465
523,1802
383,976
4796,3719
165,3137
621,2334
5317,5355
5975,1940
4162,2235
136,544
678,3004
3034,4033
2228,311
4876,4417
5839,5793
2831,5393
3726,7
4172,1108
639,180
643,3320
1746,1486
169,1980
2595,1064
3977,1054
1786,4836
5927,2680
286,3024
4982,732
2401,773
789,4017
1485,1709
4718,749
2260,5347
3986,5908
4283,3973
3595,4147
5503,5489
5687,5533
2581,4066
5296,2894
266,226
5989,3253
4039,2332
3185,5204
5839,3746
5924,3766
679,5824
4939,1915
1105,1378
5392,4488
3791,514
1332,5026
3366,1202
2022,4022
4548,3592
1862,540
4200,5567
2575,1190
1898,3315
5053,3108
464,1603
5234,4566
3581,3507
5723,333
4106,188
1535,2211
1849,1506
2439,328
290,3048
2148,633
4388,5928
816,3596
650,5923
1931,3077
1407,3960
2085,5087
571,707
5992,3109
2299,3358
612,339
213,631
2331,2117
4787,3035
5797,630
5772,5505
4129,5650
4622,3753
829,2368
2664,2857
5088,4247
2932,4790
2713,5768
4420,5505
5271,225
5632,2861
1194,3661
5549,4658
2068,2587
2176,3566
3998,1353
4657,3656
3817,5380
4306,1374
5679,3150
2423,3685
4577,4619
607,2070
76,5492
5105,1337
2947,2720
796,8
3559,2436
5902,1278
5231,1240
114,1377
1602,5234
178,1583
3528,1239
647,4808
5112,4634
1128,1059
5179,2496
1373,2498
5992,904
311,2352
2878,2080
4448,5838
5155,926
1178,2904
3545,709
5873,1942
3026,2897
759,3699
4019,5947
2235,2164
1045,746
3181,1012
4509,5159
5279,4216
5375,2410
5714,717
2944,5965
4631,2389
1788,431
5251,3554
569,1474
1668,5826
2132,2440
464,1860
1038,2861
2462,4678
5804,3471
4767,62
318,5638
4994,1494
2111,881
2195,5002
3900,3304
5485,5260
1085,679
4976,3732
1744,3481
1709,1036
3015,5360
4672,2474
2493,3242
1570,3275
2363,4484
3212,1335
1641,5662
4780,1583
3901,2799
5683,1053
122,3867
3309,5475
3832,3676
1164,5458
3094,1038
5196,5590
117,4847
4401,5878
3562,2363
537,43
3449,1150
1878,2970
1597,2275
2858,3289
2117,3119
2209,2228
4367,559
1186,2791
95,3464
1875,256
2549,1895
2725,2794
225,5998
10,4194
788,24
838,3759
552,46
1433,1000
1925,3922
1358,2301
1692,2978
2840,3400
5234,77
3262,908
61,3682
3782,2961
2937,1761
2725,5842
3332,5240
3612,5941
3638,4849
4185,5927
1253,1061
1522,3675
3053,2696
5624,2998
3040,5531
1367,4719
3426,3058
5515,2769
3483,5801
4686,3643
2404,240
124,450
314,679
5811,869
2485,2019
5138,4417
4992,3720
3649,5422
5802,2743
5797,5614
3311,5915
3226,2291
1017,2091
5617,5688
3519,3200
5689,955
3638,283
4224,2956
3722,511
5033,2330
537,3190
2613,5438
5398,5470
2398,248
5293,3560
2590,4764
2254,4260
4546,3982
1862,2824
5885,5950
5572,842
2263,1230
3769,3223
3040,3758
5537,1421
1029,2130
1159,396
5888,1496
3664,4493
3280,2291
244,3822
4026,5275
2595,510
976,3745
438,5713
2870,1334
4223,3734
3934,3766
5369,1367
1345,2861
5424,5093
1931,5946
375,4330
1782,1711
609,1621
4648,4365
2486,5926
1340,744
5832,5324
1802,924
1740,2709
4120,5876
5891,772
4776,335
789,2474
2983,758
1175,2757
912,4170
1971,723
1345,1416
4841,1833
825,554
213,3405
2398,3643
3889,1061
4909,2824
3027,4251
4648,3898
1041,1063
4142,2384
2288,505
4579,5229
2404,4740
3238,4944
2522,669
4373,2928
4851,5097
2409,4621
3167,4910
5706,5020
4992,2934
3053,3939
5852,1751
2626,3810
4103,2188
1271,1300
848,4644
5644,1436
4139,2951
3546,817
4510,1112
4039,1255
3649,947
5546,1955
636,3285
127,4671
698,3471
5222,669
712,425
3529,274
902,5000
2613,166
3463,4640
5487,5587
5515,4667
4718,4712
491,4269
4906,451
1852,5276
1685,5357
4680,849
2666,5271
4896,3224
2633,32
2221,1871
1116,1040
1194,4085
5526,4474
4865,4337
1862,540
5870,3069
1251,1034
1357,4887
4111,3476
1660,5413
3890,2927
2919,3015
157,1842
3989,543
4595,1026
5360,2709
5591,2515
4251,450
5776,3324
4686,2862
5163,5110
2961,142
28,5908
5178,1457
2564,5214
5658,5889
3429,5385
289,405
5000,5945
5888,4990
5993,2645
4399,4985
4103,5954
3812,5123
1087,4286
2493,1851
1054,3914
1440,4186
5896,2684
2255,453
1459,5116
3223,1824
2785,1773
3,1603
2056,5956
246,5632
1013,4813
2947,3092
3510,1263
5781,3742
1516,1122
2510,1382
5372,3079
3426,2961
5685,5488
146,205
1875,1504
2197,1713
3668,5810
1507,2167
5275,4200
3249,2353
1204,2847
5717,4546
2866,3589
1248,955
4389,3816
5347,2568
1362,3732
1668,3987
4996,5817
3712,2568
1866,2842
899,2169
1752,4129
457,5250
491,5360
1686,5945
3949,5227
4343,1029
4420,750
4112,2053
1105,4267
1517,5735
3029,5166
4127,4266
4693,2649
4916,491
1327,623
602,3626
5698,1373
3148,4682
797,5975
893,4437
224,1850
5640,474
284,2635
2259,1770
5881,2557
2403,1668
4343,3685
2473,677
3347,3410
3488,5784
1055,3044
4622,4064
4558,4726
1463,4704
3299,46
3246,646
2312,1100
4664,1621
1594,4956
5982,5788
5797,2217
1199,222
2708,2083
3816,2224
527,175
2788,5757
1169,3988
5878,1602
2386,2793
4558,2225
3750,94
1628,502
552,4280
1856,3704
1405,3156
5891,3929
5616,1748
1926,2275
4910,5841
4179,5738
5219,3206
824,41
350,3
3193,1966
5000,2460
611,3086
3542,2798
5050,4060
3296,5535
4869,4858
160,2709
2214,2655
3460,5807
2020,818
1316,3676
4363,4700
4673,1055
4401,4452
375,3198
4145,4705
816,2595
628,2135
4038,5123
2710,2060
2327,2482
5070,1328
1029,4933
3043,2732
1704,2670
2207,5488
1667,3611
2835,5806
3544,5031
2609,1809
91,1041
1291,2229
3512,3760
4908,1694
4683,4811
4031,4777
2595,1860
5577,3729
3935,85
5621,2037
3037,2556
4212,2931
291,4990
225,4286
1717,1924
4653,1835
4982,2021
5149,4188
3643,1914
5219,444
4683,5805
5005,3751
4283,4135
4868,353
1719,1047
2493,3041
2797,5926
2555,3720
4891,793
5278,5018
2425,991
5149,5116
852,4384
1411,4832
69,575
5625,2612
2772,994
140,1357
3242,206
2207,1796
329,4866
5883,936
3847,818
5855,3088
840,1436
4236,111
1324,5289
3266,594
494,1594
3287,1696
2409,3836
2810,5205
811,4771
605,407
2099,267
2476,1340
1380,5588
552,3022
1853,2568
3569,2156
4751,303
1126,4569
463,5307
5624,2531
4218,4524
388,1150
3883,3852
1094,2995
5271,2403
1005,1239
5917,1576
2550,975
1149,1947
4203,2665
2711,5835
184,1801
2035,2334
2863,1261
2968,728
3875,1057
609,5051
2917,5710
1085,2206
1822,3439
527,135
5537,1479
1596,5035
5224,2104
1609,2871
4197,5327
3033,219
3962,3846
2323,878
816,1383
2872,1260
2420,205
4692,1891
15,1392
1022,1114
4622,3603
2127,5184
3262,1808
2735,5451
3212,2412
256,2703
1066,953
4792,3031
2876,1729
3190,5911
4962,2259
1365,5522
3221,4771
4369,2438
2456,3402
4530,18
3729,2774
4151,4391
4531,2193
5716,1666
3742,1086
5873,3922
5356,2957
5591,1274
2837,5125
4789,4560
3748,715
3761,5062
4440,703
3135,2877
1621,5996
3012,158
3480,2113
606,4573
21,3433
296,2623
3668,3827
5596,676
3738,1513
4376,5470
1228,2969
2821,798
1337,5789
1483,3627
1935,5290
1931,4800
3148,4826
5653,3684
151,3661
4740,2197
1512,5911
1120,3534
9,857
1357,37
4462,2783
93,3696
3274,4032
5975,4993
96,4550
1638,4702
1272,5929
1919,4784
1979,372
813,1217
4718,5326
5845,1579
1757,3782
4337,3944
1605,3244
2533,4674
1463,3618
1218,5949
2606,1365
555,3064
2111,2980
5538,5403
2146,1297
1856,3220
4981,2242
232,2201
3113,478
4891,2158
1024,500
4120,5749
3177,5507
5943,2852
3550,2984
2713,4026
1101,5727
4612,1233
818,4916
352,2390
2766,919
306,4795
4940,4645
1901,1502
5317,2145
1538,5946
5677,5329
1744,2926
2917,3519
3826,3301
4170,201
4744,1428
1470,5588
3708,1931
2969,1668
2390,5541
687,882
2104,4189
4231,4786
5740,3447
4206,3206
1904,1987
2438,5810
1740,3670
3521,3074
3320,1924
3527,5863
3692,3922
1052,4283
2865,49
768,681
5215,3402
2069,5135
5194,1621
332,3560
2462,1272
2543,4350
3163,4279
4259,3386
1528,2091
5290,2074
3041,4906
2737,3224
291,457
2410,1891
3067,4456
4908,3842
2324,3352
1713,4115
477,1992
4279,5165
2120,5476
5563,312
4567,4876
2757,2082
1013,4759
1493,4978
1822,5543
5903,4482
2442,5469
1083,1899
2171,1066
706,1944
2629,4278
4190,5105
1986,1058
5865,5601
2709,5741
3959,2497
861,4869
2419,1950
1470,2621
2802,3415
1890,935
5711,2431
3928,3317
4143,3317
2992,5003
5677,3092
5310,5843
603,5375
4976,4723
1046,3076
972,5134
5604,5652
3286,1180
1415,1598
830,3892
1860,3192
5917,5253
5424,1585
1379,3802
681,5242
1874,3939
4839,5315
5638,3260
5076,5670
4411,2853
750,5287
4775,942
1024,3583
5839,4411
1336,5986
1278,5683
5652,1984
5491,1067
3279,396
4560,1988
2979,1678
5495,2068
4733,5914
3969,1321
819,5370
5921,3164
4970,1302
192,3259
5071,5998
4951,5282
953,1986
5722,1026
4288,2044
4069,3467
5716,5047
4327,1256
5976,5425
2164,3158
5601,1370
5515,2736
2402,5979
3293,3040
2744,1835
4093,663
2207,3656
4094,1387
1373,626
1833,1247
2385,1540
5445,2289
2965,3378
1498,163
3113,2101
3637,2497
4069,972
1506,1291
3296,4333
1005,794
1652,819
3130,5532
4116,1201
1889,2626
2528,2852
5366,2267
1353,5977
3221,4400
4999,2526
653,5989
5101,618
668,5729
5555,11
1668,3878
4474,2960
5488,5339
3575,137
5839,2156
3964,3536
956,1143
5769,3391
4397,2829
3293,3151
4368,5563
4448,3258
5220,2637
820,5649
1545,1098
2393,1733
1733,5058
2029,2062
3114,5301
5381,341
5865,3419
1860,4784
4550,272
684,3918
5563,1444
4541,2458
2642,5755
2803,3339
4542,613
1218,548
3556,147
1264,3661
777,3413
766,5288
2880,3474
668,330
5439,4145
4061,379
109,5675
2856,1100
3020,274
918,1529
4818,409
5498,3004
3438,2907
2125,426
1765,3975
5272,4201
4529,66
5787,1461
5505,2890
5853,582
4336,4056
5481,2937
5021,3536
3386,2394
61,5532
5804,4296
2328,3551
5366,2467
4826,3928
4334,2275
228,2057
1584,4315
5432,4869
500,4051
1880,4175
757,4120
2993,1800
3386,2159
3477,5116
0,3495
3318,2090
3318,4791
5424,2218
1668,5287
4364,4309
1534,422
286,1504
1470,1084
3546,503
4949,1824
4389,1892
2511,5298
4551,3814
3841,5165
4575,990
5375,3003
358,5843
4020,2068
5590,4047
3941,3288
4904,1839
2147,613
2749,1886
228,2026
1155,5852
5488,3384
1853,5165
4517,5080
3026,3353
2917,1875
5500,701
987,4093
3850,621
680,174
3675,4122
4353,5278
376,3718
3449,1612
4044,2057
4763,4717
5570,3349
777,472
5524,5655
1692,4278
4365,2737
2389,2805
3491,2285
4031,5467
1299,3975
3962,5830
1011,343
153,5954
2029,5833
808,2812
4583,5717
3759,4725
3694,684
1724,5956
2120,1525
4452,3707
1186,496
1598,5270
4373,4729
5076,3847
3320,2436
291,1601
2406,2960
5244,1669
2653,2561
4633,4186
1308,700
4323,5946
103,2179
513,3890
3515,2450
5515,1383
3335,1300
1995,3769
5157,1822
1481,5848
1367,5163
3887,4626
3135,3324
996,335
661,2617
3989,5479
70,2941
5938,1849
2908,2714
4794,2814
2169,4419
789,5837
3573,641
5390,5019
5761,1249
5554,4526
2767,3359
4332,5210
5190,500
5617,1666
2136,2048
5484,1194
131,3063
5644,2009
4190,791
3188,306
769,3862
1649,3623
2232,3469
1275,1541
2811,1082
909,4402
5095,721
4336,2600
1384,2411
3529,155
5387,1438
4019,530
5786,5260
2978,3333
4347,947
3739,5704
2063,5323
360,4308
1768,2184
484,1247
5825,4838
966,5883
1476,2220
3393,780
5693,2884
1726,3110
3480,4088
2128,758
1033,3662
100,2949
1437,3507
5293,3145
5585,3065
1283,3296
1398,3910
5452,1128
2304,5295
4675,1802
1877,993
2878,5306
5950,4616
1434,4838
2497,4153
4851,4665
2109,4054
1378,754
3951,2863
2965,5415
4215,4295
314,1178
5839,5186
3088,327
4996,1655
1757,886
4997,1829
662,1110
1786,2853
4932,1576
3435,4361
1649,4699
4919,2211
749,3225
2215,1359
3552,3657
4351,4738
2008,3827
5997,2848
2969,1393
450,736
4070,5928
3170,4288
1197,3503
4298,1309
4790,2947
4694,4022
2308,469
2800,2107
979,2077
2029,3412
1667,4798
1271,2132
1018,4792
317,847
4856,450
2124,1636
4401,2531
562,1808
3480,2943
3362,4596
4873,182
445,2260
4926,5495
2174,2783
4730,397
3807,3829
3552,820
5706,3403
4673,2352
863,477
4135,5296
3819,1159
645,5900
2340,3955
1020,3914
789,2612
3114,5125
282,5996
5968,4692
1024,4805
3826,1673
902,5987
226,3967
5060,1414
2038,4374
5547,4917
2331,2402
3335,3118
5629,1369
1357,3810
4230,4913
5729,3359
4357,5080
2825,5946
2670,2172
4906,4286
5839,5245
958,1038
284,2777
3013,3469
1101,1983
296,3786
2015,4860
5095,4154
5808,5062
3385,1274
5769,5460
1545,4045
633,2090
4232,744
144,3733
6,1710
825,5926
3308,2356
3816,3470
211,118
1667,2011
3101,436
2458,3018
1787,1722
1510,17
453,3656
324,1147
590,5761
4953,456
1711,5587
1112,744
4634,5352
2709,1824
5148,3856
3462,1434
589,206
4134,4208
22,5554
2773,4866
1776,1484
1345,4800
1436,4730
1804,3325
1583,2805
1580,5918
3682,2570
3335,5476
956,652
3924,2889
4474,745
3038,2567
51,892
1800,3573
2115,2617
4821,155
1895,1827
4371,4981
3083,4945
1235,3171
4967,540
5371,4645
2696,312
3118,5207
4061,438
23,4546
461,5105
811,4627
5838,1968
431,3400
1740,2957
3772,234
4663,4796
405,4610
3951,526
222,1128
3935,3507
1245,4765
4864,3778
5570,1961
4540,4914
1066,3062
3683,367
1367,3983
912,1354
1544,4422
2415,5095
2216,2384
1442,579
4799,3852
5540,1698
3624,3302
3568,4290
4624,3530
2550,4662
5554,4032
887,570
3285,5331
1116,5839
1608,3313
217,2289
3612,2626
4612,68
2968,5058
2732,3328
2233,3161
131,2959
1602,1857
220,4659
5310,1072
2204,1990
2773,1140
206,2614
760,2102
296,22
1025,4791
4632,2880
179,5580
1490,4417
3728,299
5176,546
5927,4486
586,2085
3063,3187
2013,2029
5332,766
166,3927
1599,5914
973,934
3083,241
1204,5082
606,3700
1519,5528
2115,5728
1087,1074
3134,4067
5819,1284
151,1562
3804,334
3591,2393
5667,1338
4981,525
996,5079
2769,1259
2457,490
506,582
5903,3127
5398,5979
496,1009
5495,1229
5184,1502
831,4315
476,3467
923,335
5436,1902
580,5858
4385,4551
748,3580
1289,1487
5039,1496
2366,4744
4565,2530
1782,12
1875,1255
620,5427
2132,1872
1122,3044
504,5448
4503,3702
1849,5150
1291,4472
1224,4777
5142,4871
3851,4487
3833,5258
554,4250
2865,5000
387,2901
2457,1789
3226,2296
5880,1751
4020,5464
3009,818
5063,397
4718,5135
3029,1528
5736,5652
1024,1749
2505,1810
2925,1912
5032,1481
5757,1111
1055,54
3900,204
3958,5472
5683,1936
5938,4191
3386,4701
3055,1222
5032,2408
3519,3738
3320,3872
1375,2513
2762,668
808,449
1664,292
5802,1132
4731,12
1746,5235
116,1419
4512,1909
570,4507
109,295
850,2589
5170,2335
4543,3161
2874,5738
1349,3682
3819,2486
234,1733
493,1834
5554,2858
4031,877
4662,3703
2104,1933
3519,5508
1767,4402
4407,3790
1508,953
5102,5497
491,600
4259,5756
2828,117
3774,4522
329,3664
4373,5380
814,5027
960,1077
5852,1328
5553,1275
3822,2211
815,5317
4656,5836
2926,5587
596,1043
3545,91
5095,5962
3260,2333
449,2544
1094,5431
2390,5257
1194,1388
618,3509
4282,2092
2931,5485
1083,4294
2596,4454
2739,4721
5729,271
2503,4742
4986,4097
1660,657
5363,2189
5061,4818
3540,5148
3437,4595
4953,4437
4839,4018
5988,612
3588,370
2486,3269
5537,2354
2795,5269
2748,3460
3316,1924
5575,5528
2056,1470
2818,1230
4260,5763
4138,367
4172,1541
1648,4451
4420,792
208,5513
1024,897
1820,4639
2739,2655
4567,2740
5604,3271
5131,4421
4774,832
702,3572
4570,5393
1247,5416
4397,4257
1528,5034
4443,4646
5674,5158
2621,5830
792,780
334,3408
4550,1195
5885,568
4310,489
3591,5081
4932,4680
3637,4963
4522,4114
3842,1032
4711,1389
266,3338
1155,509
3320,4796
2410,1600
563,2555
3269,5944
969,3949
4484,4713
1689,4020
1822,4671
2666,3566
5462,3910
257,4167
945,5601
2595,4973
2824,1477
3180,234
5115,1515
2215,1262
3331,1989
5652,707
5550,3869
3171,4388
2564,3800
3148,775
5138,3364
1236,3262
3386,1429
4584,735
3517,2203
4767,1159
2736,3817
4528,832
2622,4113
4196,4599
2305,2542
4797,5511
2811,4237
5953,1485
350,961
1107,453
2891,446
3962,1409
3405,5359
924,378
566,1086
653,4314
1762,660
5615,5499
787,4719
534,3378
1984,628
2595,2493
1080,4636
4888,1140
5803,1212
5575,268
3865,854
3631,2435
5700,4033
2533,3155
518,2790
3360,2004
538,1034
5356,4134
5360,889
4200,1014
1443,1324
3083,2755
2436,5648
2729,3626
2511,2778
3300,3738
3393,5330
844,3243
3129,2300
5537,3383
9,5215
5830,3446
1463,1196
5319,5754
2729,2140
3595,3760
760,1639
3809,2273
4622,856
2549,1910
1345,5892
854,4633
4631,3023
2693,5479
1868,663
2480,4712
1500,4532
5816,3008
5835,5045
2207,5856
5317,2952
2226,2206
3026,2903
1722,1458
2664,3383
4658,753
252,1645
2282,2522
1476,3473
3661,802
5885,4558
2437,3583
1746,5007
4815,1122
3866,3229
5234,3713
1470,22
5105,1077
835,1942
1940,1075
1052,3110
200,2430
5359,5747
4907,1121
5788,3264
1662,4787
1602,4779
885,3139
4205,4822
296,3631
618,98
5371,2325
1856,2895
4585,5117
1865,1350
5039,5172
5279,3320
4680,1334
1780,1280
1913,3001
5039,2692
5865,5792
5482,4157
1964,2805
4037,4796
662,2282
2195,3927
537,1924
4993,1459
3668,1170
1037,3637
4926,4519
2049,3958
2742,2936
5345,2791
1055,5878
2748,3599
1057,2740
4069,3579
3969,561
291,5298
4283,2109
4664,5505
2654,4132
232,3268
2661,5446
3169,2194
5615,5186
4302,3120
3865,5514
193,5997
3752,1551
4149,1434
811,5058
3886,980
885,4854
1941,557
1352,5451
1583,746
112,3486
3043,288
884,1352
1182,5932
947,2931
262,3946
731,371
5145,4851
4412,1881
5389,2490
3184,5043
131,3614
4813,1604
1139,3399
5788,2536
2056,570
3895,4269
5868,5383
2115,2189
3226,1718
685,5151
2824,1862
2070,1761
5565,5324
5498,4750
2713,2240
4496,3930
3985,416
3038,5759
3893,842
735,762
5064,5290
5293,4299
5598,69
3386,4257
2568,749
4484,1947
1752,5750
3959,4961
5350,1418
4617,2033
5761,2403
4782,2130
2613,2869
5228,551
2795,1332
1405,3196
1538,298
1874,1945
2877,524
5456,3917
3386,2664
4417,2326
1354,5263
2084,4526
4567,481
4126,1815
3633,2516
2811,2949
4747,4500
3283,5200
9,1830
2524,602
4031,3532
5107,4236
352,4533
4397,1871
518,5131
5742,4932
5500,2448
2325,2650
1993,2964
4818,1504
291,1230
2288,3431
2939,5075
2115,3818
211,2841
2939,4893
3762,1014
1652,3111
1169,2083
5296,5003
5565,3635
3521,2164
3597,4750
351,4636
5262,1132
3887,1304
715,4187
3564,915
3962,2561
3899,5648
4526,1016
407,4039
1697,1496
5927,5145
2117,262
5372,2101
3591,4605
262,1558
208,924
125,273
3047,2434
296,4308
5486,2761
5535,2254
1606,1134
3547,3454
3480,367
767,4041
2937,4191
1178,3220
3599,709
1350,2484
4284,5729
1538,5109
941,4254
4684,3988
5707,1047
1358,2562
1702,4438
2084,5793
1538,5492
2276,3925
1017,2680
2195,5897
216,5847
1061,4136
1505,3551
5109,4349
2039,4945
3176,2729
4613,2038
2543,4461
4284,5761
5763,1616
1315,393
5706,3378
336,2637
3529,1342
4686,1810
865,4356
5696,754
1128,4857
4422,313
885,1239
2940,5916
5184,596
5319,1383
5453,2240
5928,405
3552,4902
1925,3455
2897,3426
5426,1270
5463,94
135,2334
1553,4996
2207,26
3885,4749
62,4158
3426,2981
2944,4850
1267,1654
3748,3189
61,3902
2235,2732
4781,4684
5035,3208
316,3111
5332,3079
2658,5176
3824,364
4603,1021
4694,3340
3212,5172
1186,1393
1275,2812
4724,4661
2176,5419
1469,2113
2206,2905
3345,1919
3748,5679
4651,5710
733,178
5271,961
476,5857
5874,904
2816,3656
4705,949
555,483
627,4597
1805,3560
4025,3045
956,5657
426,2312
2209,954
208,930
3379,1419
3684,2958
61,2037
1989,4314
947,2317
2156,1725
1358,4216
3848,415
3936,1027
4520,2688
2096,5657
